Connector ID,Name,Description
connector0,"Left Header Pin 1","Left Header Pin 1; electrical assignment remains generic pending a verified factory pinout."
connector1,"Left Header Pin 2","Left Header Pin 2; electrical assignment remains generic pending a verified factory pinout."
connector2,"Left Header Pin 3","Left Header Pin 3; electrical assignment remains generic pending a verified factory pinout."
connector3,"Left Header Pin 4","Left Header Pin 4; electrical assignment remains generic pending a verified factory pinout."
connector4,"Left Header Pin 5","Left Header Pin 5; electrical assignment remains generic pending a verified factory pinout."
connector5,"Left Header Pin 6","Left Header Pin 6; electrical assignment remains generic pending a verified factory pinout."
connector6,"Left Header Pin 7","Left Header Pin 7; electrical assignment remains generic pending a verified factory pinout."
connector7,"Left Header Pin 8","Left Header Pin 8; electrical assignment remains generic pending a verified factory pinout."
connector8,"Left Header Pin 9","Left Header Pin 9; electrical assignment remains generic pending a verified factory pinout."
connector9,"Left Header Pin 10","Left Header Pin 10; electrical assignment remains generic pending a verified factory pinout."
connector10,"Right Header Pin 1","Right Header Pin 1; electrical assignment remains generic pending a verified factory pinout."
connector11,"Right Header Pin 2","Right Header Pin 2; electrical assignment remains generic pending a verified factory pinout."
connector12,"Right Header Pin 3","Right Header Pin 3; electrical assignment remains generic pending a verified factory pinout."
connector13,"Right Header Pin 4","Right Header Pin 4; electrical assignment remains generic pending a verified factory pinout."
connector14,"Right Header Pin 5","Right Header Pin 5; electrical assignment remains generic pending a verified factory pinout."
connector15,"Right Header Pin 6","Right Header Pin 6; electrical assignment remains generic pending a verified factory pinout."
connector16,"Right Header Pin 7","Right Header Pin 7; electrical assignment remains generic pending a verified factory pinout."
connector17,"Right Header Pin 8","Right Header Pin 8; electrical assignment remains generic pending a verified factory pinout."
connector18,"Right Header Pin 9","Right Header Pin 9; electrical assignment remains generic pending a verified factory pinout."
connector19,"Right Header Pin 10","Right Header Pin 10; electrical assignment remains generic pending a verified factory pinout."